"Timestamp","Total score","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Quelle image est la plus réaliste?","Quelle image est la plus réaliste? [Score]","Quelle image est la plus réaliste? [Feedback]","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?)","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?) [Score]","Cette image est-elle réelle ou modifiée?(un élément a-t-il été supprimé?) [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]","Cette image est-elle réelle ou modifiée?","Cette image est-elle réelle ou modifiée? [Score]","Cette image est-elle réelle ou modifiée? [Feedback]"
"2021/01/17 2:46:57 pm CET","0.00 / 0","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","","","","","","","","","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","","","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","","",""
"2021/01/17 7:19:52 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:29:37 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:31:53 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:37:12 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0",""
"2021/01/17 7:41:36 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:44:36 pm CET","0.00 / 0","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:46:09 pm CET","0.00 / 0","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:46:12 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","B:","-- / 0","","B:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0",""
"2021/01/17 7:48:53 pm CET","0.00 / 0","A:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","B:","-- / 0","","A:","-- / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0","","Vraie","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Modifiée","0.00 / 0","","Vraie","0.00 / 0",""
